Plats,Ingredient,Quantite,Unite
Hachis Parmentier,Boeuf hache,85.00,gr
Hachis Parmentier,Pomme de terre,250.00,gr
Hachis Parmentier,Carotte,0.50,piece
Hachis Parmentier,Tomate,0.50,piece
Hachis Parmentier,Celeri branche,0.10,piece
Hachis Parmentier,Creme fraiche,0.25,pot
Hachis Parmentier,Oignon,0.25,piece
Hachis Parmentier,Persil,0.00,piece
Hachis Parmentier,Chapelure,0.00,piece
Galettes,Farine sarrasin,30.00,gr
Galettes,Jambon,1.00,Tranche
Galettes,Gruyere rape,150.00,gr
Galettes,Oeuf,1.00,piece
Galettes,Champignon,50.00,gr
Galettes,Creme fraiche,0.10,pot
